# Rime user dictionary
#@/db_name	wubi86
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	21342
#@/user_id	4a724b77-b474-4a53-8ab8-27f5bbc0adee
a 	工	c=82 d=2.75868 t=21116
aa 	式	c=1 d=1 t=19448
aatk 	工程	c=2 d=1.05297 t=10397
ab 	节	c=3 d=1.01338 t=11864
abhk 	节点	c=1 d=1 t=3298
abwn 	节假	c=1 d=1 t=3299
acbt 	茅	c=1 d=1 t=5991
ad 	基	c=3 d=2.98506 t=20911
aday 	葫芦	c=1 d=1 t=14744
adgc 	甚至	c=1 d=1 t=15768
adhh 	项目	c=1 d=1 t=7575
adjf 	其时	c=1 d=1 t=7140
adkh 	其中	c=1 d=1 t=3568
adlg 	基辅	c=1 d=1 t=7405
adlt 	苦力	c=1 d=1 t=10102
adm 	项	c=1 d=1 t=20462
adov 	基数	c=1 d=1 t=10489
adpu 	其实	c=9 d=1.00033 t=17577
adqm 	欺负	c=5 d=1.54607 t=20229
adsc 	期权	c=2 d=1.99501 t=6594
adsg 	基本	c=2 d=1.75578 t=5099
aduj 	期间	c=2 d=1.86071 t=397
advf 	基建	c=1 d=1 t=7243
adw 	其	c=2 d=1.89137 t=15832
adwb 	其他	c=15 d=1.2865 t=15821
adwe 	期	c=4 d=1 t=12124
adwr 	斯	c=2 d=1.00687 t=6016
adyn 	期望	c=1 d=1 t=20891
ae 	菜	c=1 d=1 t=8125
aeqy 	菜鸟	c=2 d=1.93239 t=18032
aet 	散	c=1 d=1 t=17949
aeyn 	散户	c=2 d=1 t=17841
afp 	鞍	c=3 d=1.97531 t=16415
ag 	七	c=7 d=1.46533 t=17700
agjs 	苹果	c=3 d=1 t=21323
aht 	牙	c=1 d=1 t=6817
ahty 	雅	c=3 d=1 t=20915
ai 	东	c=18 d=1.00054 t=21225
aibj 	东阳	c=1 d=1 t=3630
ailf 	范围	c=2 d=1 t=13996
aisg 	东西	c=20 d=1.05248 t=20136
ait 	落	c=4 d=1.99501 t=20212
aiyy 	东方	c=4 d=0.1 t=21226
aj 	划	c=2 d=1 t=14526
ajat 	草莓	c=8 d=1 t=14661
ajd 	莫	c=17 d=1.1785 t=17431
ajj 	草	c=4 d=2.31222 t=5140
ajqc 	蓝色	c=2 d=1.89137 t=13354
ajth 	划算	c=1 d=1 t=19515
ajty 	草稿	c=1 d=1 t=7148
ajyx 	草率	c=1 d=1 t=19986
akft 	或者	c=4 d=1.00099 t=15545
al 	功	c=4 d=1.00001 t=15991
amd 	英	c=3 d=1 t=14616
amdc 	英雄	c=2 d=1 t=18652
amqq 	黄金	c=1 d=1 t=11674
amw 	黄	c=5 d=1.21438 t=15450
amyg 	英语	c=9 d=1.9465 t=18971
amyy 	英文	c=2 d=1 t=19801
andd 	巨大	c=1 d=1 t=1853
anlw 	世界	c=3 d=1 t=18066
ansy 	艺术	c=5 d=1.05313 t=10540
antd 	黄发垂髫	c=1 d=1 t=16998
apfc 	劳动	c=2 d=1 t=11863
apgy 	莹	c=1 d=1 t=8810
apiw 	荣誉	c=2 d=1.86071 t=436
apl 	劳	c=1 d=1 t=20399
apog 	营业	c=2 d=1.00181 t=18038
aps 	荣	c=2 d=1 t=20501
apud 	营养	c=3 d=1 t=18498
aq 	区	c=12 d=1.35057 t=18974
aqfa 	区域	c=1 d=1 t=18097
aqgn 	瓯	c=4 d=1.02802 t=14053
aqkl 	区别	c=1 d=1 t=17564
aqog 	敬业	c=4 d=2.57423 t=2847
aqpw 	警察	c=1 d=1 t=312
aqpy 	敬礼	c=1 d=1 t=10209
aqqw 	欧	c=2 d=1.98511 t=5249
aqsg 	匹配	c=2 d=1 t=7947
aqt 	获	c=1 d=1 t=440
aqtj 	获得	c=2 d=1.89583 t=20940
as 	苛	c=2 d=1.99501 t=13029
asdb 	花样百出	c=4 d=3.97017 t=13037
asdj 	苛百	c=1 d=1 t=13038
ask 	苛	c=1 d=1 t=13062
atax 	医药	c=1 d=1 t=3592
atbp 	医院	c=4 d=1 t=20643
atd 	医	c=4 d=1.12047 t=3508
atg 	董	c=1 d=1 t=16279
atgn 	翘	c=1 d=1 t=15702
atip 	医学	c=1 d=1 t=3498
attu 	医科	c=2 d=1.99501 t=3559
atub 	医疗	c=2 d=1.00003 t=6764
aty 	攻	c=2 d=1.96079 t=18696
auuq 	薪资	c=1 d=1 t=20892
aw 	共	c=4 d=1.01156 t=15847
awb 	苍	c=1 d=1 t=601
awbb 	巷子	c=1 d=1 t=993
awde 	共有	c=1 d=1 t=10303
awfi 	蔡	c=4 d=1 t=21329
awfm 	苍南	c=3 d=2.73143 t=657
awmg 	共同	c=1 d=1 t=21004
aws 	茶	c=3 d=1.00076 t=18509
awx 	花	c=15 d=2.76477 t=21210
awyb 	共享	c=1 d=1 t=7371
ax 	药	c=9 d=1 t=15447
axyh 	药店	c=1 d=1 t=11821
axyp 	药膏	c=2 d=1.97045 t=14084
b 	了	c=696 d=7.17156 t=21342
bai 	陈	c=3 d=1 t=10095
bat 	聀	c=1 d=1 t=1954
bb 	子	c=46 d=3.05902 t=21042
bc 	取	c=1 d=1 t=13660
bctj 	取得	c=3 d=2.54126 t=469
bdep 	承受	c=1 d=1 t=1846
bdep 	随	c=1 d=1 t=1845
bdtm 	随身	c=2 d=1.99005 t=19784
bdud 	随着	c=1 d=1 t=15904
bdxx 	随缘	c=1 d=1 t=12543
bdya 	承诺	c=5 d=2.56775 t=16857
be 	阴	c=1 d=1 t=14170
bgsm 	耳机	c=1 d=1 t=6968
bib 	函	c=4 d=3.81193 t=16301
bj 	阳	c=6 d=1 t=14159
bjck 	阳台	c=1 d=1 t=2040
bjnt 	阳性	c=1 d=1 t=3862
bk 	职	c=7 d=1 t=20888
bkfn 	职场	c=1 d=1 t=4313
bkog 	职业	c=8 d=1.00018 t=20903
bm 	出	c=37 d=1.00001 t=21030
bmca 	出戏	c=1 d=1 t=8734
bmfc 	出去	c=3 d=1 t=10909
bmgo 	出来	c=18 d=1.58069 t=19132
bmnn 	出局	c=1 d=1 t=6174
bmnt 	出发	c=1 d=1 t=7348
bmtg 	出生	c=3 d=2.60512 t=621
bmud 	出头	c=2 d=0.359264 t=14021
bmuy 	出门	c=1 d=1 t=4904
bmwx 	出货	c=1 d=1 t=16741
bmwy 	出售	c=1 d=1 t=2771
bn 	也	c=147 d=1.64713 t=20866
bnce 	也能	c=1 d=1 t=13426
bnde 	也有	c=2 d=1 t=10743
bnim 	也没	c=1 d=0.1 t=19861
bntf 	也行	c=2 d=0.10003 t=19587
bnvb 	也好	c=1 d=0.1 t=17088
bnyt 	也许	c=3 d=1 t=13577
bpf 	院	c=14 d=1.00848 t=20516
bqgd 	聊天	c=3 d=0.10526 t=20007
bqt 	聊	c=8 d=2.04762 t=20006
br 	孤	c=4 d=2.20959 t=4153
bs 	阿	c=12 d=1.62814 t=20917
bsjf 	阿里	c=1 d=0.162814 t=20918
bssk 	阿哥	c=2 d=1 t=9709
bsvg 	阿姨	c=3 d=1.00005 t=16253
btww 	降价	c=1 d=1 t=3071
bu 	联	c=2 d=1.39455 t=3098
bud 	联	c=2 d=1 t=20265
buje 	联盟	c=1 d=1 t=8535
buje 	聪明	c=3 d=1 t=16076
buk 	陪	c=12 d=1.00266 t=18636
butx 	联系	c=1 d=1 t=15781
buw 	隘	c=1 d=1 t=11997
bvrm 	限制	c=2 d=1.00222 t=11627
bw 	队	c=2 d=1.76338 t=321
bwdj 	除非	c=1 d=1 t=7240
bwg 	险	c=1 d=1 t=5108
bwrp 	附近	c=1 d=1 t=8968
bwt 	除	c=7 d=1.3413 t=15781
bwta 	队长	c=2 d=1 t=15999
bwwr 	附件	c=2 d=1.66034 t=7256
by 	防	c=1 d=1 t=7831
bybb 	孩子	c=7 d=1 t=13155
c 	以	c=3 d=1.77105 t=6094
cafc 	驱动	c=2 d=1.75578 t=5785
cb 	邓	c=6 d=5.86764 t=3857
cbd 	预	c=1 d=1 t=5095
cbim 	预测	c=1 d=1 t=18090
cbnu 	预习	c=1 d=1 t=2363
cbrm 	预制	c=1 d=1 t=8124
cbxq 	预约	c=3 d=1.59025 t=15293
cc 	双	c=6 d=1.956 t=19463
ccc 	又	c=14 d=1.00024 t=18287
cccc 	又	c=6 d=1.00001 t=18879
ccuh 	驿站	c=2 d=1.93239 t=18033
ccws 	双休	c=1 d=0.100002 t=5604
cdlk 	参加	c=1 d=1 t=424
cdpf 	参赛	c=1 d=1 t=20994
cdrt 	骑手	c=4 d=2.59085 t=12619
ce 	能	c=101 d=1.07278 t=21130
cefp 	通过	c=2 d=1 t=20579
ceid 	能源	c=2 d=1.00096 t=9665
celt 	能力	c=1 d=1 t=8786
cep 	通	c=11 d=1 t=20290
cf 	对	c=98 d=1.53281 t=20742
cfcf 	对对	c=1 d=1 t=18821
cfdm 	对面	c=5 d=1.94176 t=20068
cfgf 	对于	c=1 d=1 t=5009
cfka 	对呀	c=4 d=0.118095 t=20074
cfn 	怼	c=5 d=3.77712 t=1794
cfqj 	对象	c=5 d=1 t=12207
cfru 	对接	c=1 d=1 t=15866
cfww 	圣人	c=1 d=1 t=10675
cfxx 	对比	c=2 d=1.65051 t=18140
cfyy 	对方	c=2 d=1 t=18703
ck 	台	c=5 d=1.96079 t=21319
ckyt 	台州	c=6 d=1.03707 t=3481
cmif 	观潮	c=1 d=1 t=12596
cmrh 	观看	c=1 d=1 t=13961
cmww 	观众	c=4 d=2.00157 t=13987
