# Rime user dictionary
#@/db_name	wubi86
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	277
#@/user_id	517f4d56-16c1-4d02-b8b4-5724ce871911
adpu 	其实	c=1 d=1 t=9
ahha 	雅虎	c=1 d=1 t=73
aj 	划	c=1 d=1 t=130
apfc 	劳动	c=1 d=1 t=107
ard 	菝	c=3 d=2.71497 t=61
avrq 	切换	c=1 d=1 t=148
b 	了	c=2 d=1.82283 t=161
bgnk 	隔壁	c=1 d=1 t=167
bn 	也	c=1 d=1 t=244
bo 	耿	c=1 d=1 t=39
c 	以	c=1 d=1 t=271
ce 	能	c=1 d=1 t=163
cejg 	能量	c=1 d=1 t=242
cqel 	鸡肋	c=1 d=1 t=150
d 	在	c=5 d=3.53315 t=159
ddu 	套	c=1 d=1 t=238
dhdh 	存在	c=1 d=1 t=67
dmnn 	而已	c=1 d=1 t=225
dnuq 	成交	c=3 d=2.72898 t=226
dy 	太	c=1 d=1 t=149
eyb 	脑	c=1 d=1 t=59
fcl 	动	c=1 d=1 t=131
fcu 	去	c=1 d=1 t=197
fggh 	干	c=1 d=1 t=165
fnw 	块	c=1 d=1 t=248
fp 	过	c=1 d=1 t=166
ft 	才	c=1 d=1 t=209
ggtt 	五笔	c=2 d=1.98511 t=256
gh 	下	c=1 d=1 t=125
gi 	不	c=1 d=1 t=206
gice 	不能	c=1 d=1 t=164
gide 	还有	c=1 d=1 t=201
gm 	现	c=2 d=1.91393 t=158
gmf 	再	c=1 d=1 t=196
gmww 	两	c=1 d=1 t=199
h 	上	c=5 d=4.17826 t=251
hhdh 	卡在	c=1 d=1 t=66
hhsf 	目标	c=1 d=1 t=213
hko 	点	c=1 d=1 t=171
ih 	小	c=3 d=2.76588 t=262
ihvt 	小九	c=1 d=1.08511 t=263
im 	没	c=3 d=2.51402 t=231
imgk 	没事	c=1 d=1 t=208
iqsf 	光标	c=1 d=1 t=132
iqui 	溜冰	c=3 d=2.72357 t=54
j 	是	c=4 d=3.48487 t=245
